,name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,ratio,pixel,WLAN,Colors,Sensors,Bluetooth,GPU,Loudspeaker,3.5mm jack,Chipset,Network,Card slot,Storage,RAM
10,alcatel go flip v,alcatel,True,True,True,False,2019.0,Available,118.0,104.9,52.8,18.7,Nano-SIM,TN TFT LCD,2.8,143.0,43.8,KaiOS 2.5.2,1350.0,80.0,4.0,4:3,76800.0,"Wi-Fi 802.11 b/g/n, hotspot",Black,,"4.2, A2DP",Adreno 304,True,True,Qualcomm MSM8909 Snapdragon 210 (28 nm),"GSM / HSPA / LTE HSPA, LTE",microSDHC (dedicated slot),8GB,1GB
11,alcatel 3t10 2020,alcatel,True,True,True,False,2020.0,Available,475.0,243.3,161.2,9.4,Nano-SIM,IPS LCD,10.1,149.0,75.4,Android 10,5500.0,170.0,4.0,16:10,1024000.0,Wi-Fi 802.11 a/b/g/n,Black,"Accelerometer, proximity","5.0, A2DP, LE",,False,True,MediaTek MT8766B,"GSM / HSPA / LTE HSPA, LTE",microSDXC (dedicated slot),32GB,2GB
12,alcatel 3x (2020),alcatel,True,True,True,False,2020.0,Available,186.0,165.0,75.0,9.1,Nano-SIM,IPS LCD,6.52,269.0,82.9,Android 10,5000.0,170.0,8.0,20:9,1152000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Black, Blue","Fingerprint (rear-mounted), accelerometer, proximity, compass","5.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6762 Helio P22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),64GB,4GB
13,alcatel 3l (2020),alcatel,True,True,True,False,2020.0,Available,165.0,158.7,74.6,8.5,Nano-SIM,IPS LCD,6.22,270.0,81.6,Android 10,4000.0,150.0,8.0,19:9,1094400.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Chameleon Blue, Dark Chrome, Agate Green","Fingerprint (rear-mounted), accelerometer, proximity, compass","5.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6762 Helio P22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),64GB,4GB
14,alcatel 1s (2020),alcatel,True,True,True,False,2020.0,Available,165.0,158.7,74.6,8.5,Nano-SIM,IPS LCD,6.22,270.0,81.6,Android 10,4000.0,100.0,8.0,19:9,1094400.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Agate Green, Power Grey","Fingerprint (rear-mounted), accelerometer, proximity, compass","5.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6762D Helio P22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),32GB,3GB
15,alcatel 1v (2020),alcatel,True,True,True,False,2020.0,Available,160.0,158.7,74.8,8.9,Nano-SIM,IPS LCD,6.22,270.0,81.3,Android 10,4000.0,80.0,8.0,19:9,1094400.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Prime Black, Pine Green, Metallic Black, Agate Green","Fingerprint (rear-mounted), accelerometer, proximity","5.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6762D Helio P22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),32GB,2GB
16,alcatel 1b (2020),alcatel,True,True,True,False,2020.0,Available,168.0,146.1,71.6,9.9,Nano-SIM,IPS LCD,5.5,293.0,74.6,Android 10,3000.0,80.0,4.0,18:9,1036800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Prime Black, Pine Green","Accelerometer, proximity","4.2, A2DP, LE",Adreno 308,True,True,Qualcomm QM215 Snapdragon 215 (28 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),16GB,2GB
17,alcatel 3v (2019),alcatel,True,True,True,False,2019.0,Available,197.9,174.5,83.3,8.4,Nano-SIM,IPS LCD,6.7,240.0,79.7,Android 9.0,4000.0,170.0,8.0,18:9,1036800.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",Elegant Black,"Fingerprint (rear-mounted), accelerometer, proximity, compass","4.2, A2DP, LE",PowerVR GE8320,False,True,Mediatek MT6762 Helio P22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),32GB,3GB
18,alcatel 3x (2019),alcatel,True,True,True,False,2019.0,Available,178.0,164.9,75.8,8.4,Nano-SIM,IPS LCD,6.52,269.0,82.1,Android 9.0,4000.0,150.0,8.0,20:9,1152000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Jewelry Black, Jewelry Green, Jewelry Rose","Fingerprint (rear-mounted), accelerometer, proximity","4.2, A2DP, LE",Mali-G71 MP2,True,True,Mediatek MT6763V Helio P23 (16 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),64GB,4GB
19,alcatel 1v (2019),alcatel,True,True,True,False,2019.0,Available,153.2,149.1,72.2,8.9,Nano-SIM,IPS LCD,5.5,195.0,72.5,Android 9.0,2460.0,80.0,8.0,18:9,460800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Anthracite Black, Metallic Blue, Metallic Gold, Metallic Rose","Fingerprint (under display, optical) - market dependant, accelerometer, proximity","4.2, A2DP, LE",IMG8322,True,True,Unisoc SC9863A (28nm),"GSM / HSPA / LTE HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,16GB,1GB
20,alcatel 3t 8,alcatel,True,True,True,False,2018.0,Available,279.0,209.5,125.0,8.3,Micro-SIM,IPS LCD,8.0,189.0,70.9,Android 8.1,4080.0,140.0,4.0,16:10,1024000.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","Black, Blue",Accelerometer,"4.2, A2DP, LE",,True,True,Mediatek MT8765,LTE LTE,microSDXC (dedicated slot),16GB,1GB
21,alcatel smart tab 7,alcatel,True,True,True,False,2019.0,Available,268.0,176.0,126.0,12.0,,TN TFT LCD,7.0,170.0,62.2,Android 9.0,2580.0,80.0,4.0,16:9,614400.0,Wi-Fi 802.11 b/g/n,Black,Accelerometer,"4.2, A2DP, LE",IMG GE8300,False,True,Mediatek MT8167D,No cellular connectivity No,microSDXC (dedicated slot),16GB,1.5GB
22,alcatel 3t 10,alcatel,True,True,True,False,2019.0,Available,440.0,260.0,156.6,9.0,Nano-SIM,IPS LCD,10.0,151.0,71.2,Android 8.1,4080.0,,4.0,16:10,1024000.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","Prime Black, Midnight Blue","Accelerometer, proximity","4.2, A2DP, LE",PowerVR GE8100,True,True,Mediatek MT8765WB,"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),16GB,2GB
23,alcatel 3l,alcatel,True,True,True,False,2019.0,Available,145.0,151.1,69.7,8.0,Nano-SIM,IPS LCD,5.94,289.0,82.2,Android 8.1,3500.0,,4.0,5:9,1123200.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Anthracite black, Metallic Blue","Fingerprint (rear-mounted, market dependent), accelerometer, proximity","4.2, A2DP, LE",PowerVR GE8100 - EuropeAdreno 504,True,True,Mediatek MT6739 (28 nm) - EuropeQualcomm SDM429 Snapdragon 429 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),16GB,2GB
24,alcatel 3 (2019),alcatel,True,True,True,False,2019.0,Available,145.0,151.1,69.7,8.0,Nano-SIM,IPS LCD,5.94,289.0,82.2,Android 8.1,3500.0,,8.0,5:9,1123200.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Blue-purple gradient, Black-blue gradien","Fingerprint (rear-mounted), accelerometer, proximity, compass","4.2, A2DP, LE",Adreno 505,True,True,Qualcomm SDM439 Snapdragon 439 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),32GB,3GB
25,alcatel 1s,alcatel,True,True,True,False,2019.0,Available,146.0,147.8,70.7,8.6,Nano-SIM,IPS LCD,5.5,293.0,74.7,Android 9.0,3060.0,,8.0,18:9,1036800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Blue, Black, Rose, Gold","Fingerprint (rear-mounted), accelerometer, proximity","4.2, A2DP, LE",IMG8322,True,True,Unisoc SC9863 (28nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),32GB,3GB
26,alcatel 1x (2019),alcatel,True,True,True,False,2019.0,Available,130.0,146.4,68.8,8.3,Nano-SIM,IPS LCD,5.5,293.0,77.5,Android 8.1,3000.0,120.0,4.0,18:9,1036800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Pebble Blue, Pebble Black","Fingerprint (rear-mounted, 5008T only), accelerometer, proximity","4.2, A2DP, LE",PowerVR GE8100,True,True,Mediatek MT6739 (28 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,16GB,2GB
27,alcatel 1c (2019),alcatel,True,True,False,False,2019.0,Available,148.0,136.6,65.3,10.0,Nano-SIM,IPS LCD,5.0,215.0,72.3,Android 8.1,2000.0,70.0,4.0,18:9,460800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Enamel Blue, Blush Pink, Volcano Black","Accelerometer, proximity","4.2, A2DP, LE",,True,True,Spreadtrum SC7731E,GSM / HSPA HSPA 42.2/5.76 Mbps,microSDHC,8GB,1GB
28,alcatel 1,alcatel,True,True,True,False,2018.0,Available,134.0,137.6,65.7,9.8,Nano-SIM,TFT LCD,5.0,215.0,71.4,Android 8.1,2000.0,60.0,4.0,18:9,460800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Black, Blue, Gold, Pink","Accelerometer, proximity","4.2, A2DP, LE",PowerVR GE8100,True,True,Mediatek MT6739 (28 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC (dedicated slot),8GB,1GB
29,alcatel tetra,alcatel,True,True,True,False,2018.0,Available,150.0,142.5,71.9,9.4,Nano-SIM,IPS LCD,5.0,196.0,67.2,Android 8.1,2050.0,40.0,4.0,16:9,409920.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Stealth Black,"Accelerometer, proximity","4.1, A2DP, LE",PowerVR GE8100,True,True,Mediatek MT6739WM (28 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),16GB,2GB
30,alcatel 7,alcatel,True,True,True,False,2018.0,Available,175.0,162.1,75.0,8.6,Nano-SIM,IPS LCD,6.0,402.0,77.1,Android 8.1,4000.0,150.0,8.0,18:9,2354400.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",Black,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","4.0, A2DP, LE",Mali-G71 MP2,True,True,Mediatek MT6763T Helio P23 (16 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",microSDXC (dedicated slot),32GB,2GB
31,alcatel 5v,alcatel,True,True,True,False,2018.0,Available,158.0,153.7,74.5,8.5,Micro-SIM,IPS LCD,6.2,268.0,84.5,Android 8.1,4000.0,180.0,8.0,,1080000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Black, Blue","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","4.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6762 Helio P22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,32GB,3GB
32,alcatel 5,alcatel,True,True,True,False,2018.0,Available,144.0,152.3,71.1,8.4,Nano-SIM,IPS LCD,5.7,282.0,77.4,Android 7.1,3000.0,230.0,8.0,18:9,1036800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Metallic Gold, Metallic Black","Fingerprint (rear-mounted), accelerometer, proximity, compass","4.2, A2DP, LE",Mali-T860MP2,True,True,Mediatek MT6750 (28 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC,16GB,2GB
33,alcatel 3v,alcatel,True,True,True,False,2018.0,Available,155.0,162.0,76.0,8.1,Nano-SIM,IPS LCD,6.0,402.0,75.5,Android 8.0,3000.0,160.0,4.0,18:9,2332800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Spectrum Black, Spectrum Blue, Spectrum Gold","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","4.2, A2DP, LE",Mali-T720MP2,True,True,Mediatek MT8735A,"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC,16GB,2GB
34,alcatel 3x (2018),alcatel,True,True,True,False,2018.0,Available,144.0,153.5,71.6,8.5,Nano-SIM,IPS LCD,5.7,282.0,76.3,Android 7.1,3000.0,130.0,4.0,18:9,1036800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Metallic Black, Metallic Blue, Metallic Gold - EU/MEASpectrum Black, Spectrum Blue, Spectrum Gold - LATAM","Fingerprint (rear-mounted), accelerometer, proximity, compass","4.2, A2DP, LE",PowerVR GE8100,True,True,Mediatek MT6739 (28 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),16GB,2GB
35,alcatel 3,alcatel,True,True,True,False,2018.0,Available,145.0,147.1,68.8,8.5,Nano-SIM,IPS LCD,5.5,293.0,77.1,Android 8.0,3000.0,170.0,4.0,18:9,1036800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Spectrum Black, Spectrum Gold (LATAM), Spectrum Black, Spectrum Blue (APAC), Spectrum Black, Spectrum Blue, Spectrum Gold (EU/MEA)","Fingerprint (rear-mounted), accelerometer, proximity, compass","4.2, A2DP, LE",PowerVR GE8100,True,True,Mediatek MT6739 (28 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC,16GB,2GB
36,alcatel 1x,alcatel,True,True,True,False,2018.0,Available,151.0,147.5,70.6,9.1,Nano-SIM,IPS LCD,5.3,203.0,69.6,Android 8.1,2460.0,100.0,4.0,18:9,460800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Black, Blue (EU, MEA, APAC); Black, Gold, Rose Gold (LATAM)","Fingerprint (rear-mounted, 5059A/J only), accelerometer, proximity","4.2, A2DP, LE",PowerVR GE8100,True,True,Mediatek MT6739 (28 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC,16GB,1GB
37,alcatel 3c,alcatel,True,True,True,False,2018.0,Available,169.0,161.0,76.0,7.9,,IPS LCD,6.0,268.0,75.9,Android 7.1,3000.0,130.0,4.0,18:9,1036800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Black, Gold, Blue","Fingerprint (rear-mounted), accelerometer, proximity","4.2, A2DP, LE",Mali-400,True,True,Mediatek MT8321 (28 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC,16GB,1GB
38,alcatel 3088,alcatel,True,False,True,False,2019.0,Available,90.0,125.2,50.5,12.8,Nano-SIM,"TFT LCD, 256K colors",2.4,167.0,28.2,KaiOS 2.5.1,1530.0,50.0,2.0,4:3,76800.0,"Wi-Fi 802.11 b/g/n, hotspot","Black, Gray, Blue",,"4.1, A2DP",,True,True,Spreadtrum SC9820E,"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,4GB,512MB
39,alcatel 1t 10,alcatel,True,False,False,False,2018.0,Available,415.0,255.0,155.0,9.4,,TFT,10.1,149.0,74.8,Android 8.1,4000.0,100.0,4.0,16:10,1024000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Gray, Dark Blue",Accelerometer,"4.2, A2DP",Mali-400,True,True,Mediatek MT8321 (28 nm),No cellular connectivity No,microSDXC (dedicated slot),16GB,1GB
40,alcatel 1t 7,alcatel,True,False,False,False,2018.0,Available,245.0,189.5,111.0,9.2,,TFT,7.0,170.0,65.6,Android 8.1,2580.0,70.0,4.0,16:9,614400.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Gray, Dark Blue",Accelerometer,"4.2, A2DP",Mali-400,True,True,Mediatek MT8321A/D (28 nm),No cellular connectivity No,microSDXC (dedicated slot),8GB,1GB
41,alcatel idol 5s,alcatel,True,True,True,False,2017.0,Available,147.0,148.6,72.0,7.5,Nano-SIM,IPS LCD,5.2,424.0,69.7,Android 7.1,2850.0,140.0,8.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Dark Gray,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","4.2, A2DP, LE",Mali-T880MP2,False,True,Mediatek MT6757 Helio P20 (16 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),32GB,3GB
42,alcatel idol 5,alcatel,True,True,True,False,2017.0,Available,155.0,148.0,73.0,7.5,Nano-SIM,IPS LCD,5.2,423.0,69.3,Android 7.1,2800.0,120.0,4.0,16:9,2073600.0,"Wi-Fi 802.11, b/g/n, Wi-Fi Direct","Metal Silver, Metal Black","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","4.2, A2DP, LE",Mali-T720MP3,True,True,Mediatek MT6753 (28 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),16GB,3GB
43,alcatel a7 xl,alcatel,True,True,True,False,2017.0,Available,175.0,159.6,81.5,8.7,,IPS LCD,6.0,367.0,76.3,Android 7.1,4000.0,260.0,8.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","Metal Black, Metal Blue, Metal Gold, Rose Gold","Fingerprint (rear-mounted), accelerometer, proximity, compass","4.2, A2DP, LE",Mali-T860MP2,True,True,Mediatek MT6750S (28 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC,32GB,3GB
44,alcatel a7,alcatel,True,True,True,False,2017.0,Available,,152.7,76.5,9.0,Nano-SIM,IPS LCD,5.5,401.0,71.4,Android 7.0,4000.0,190.0,8.0,16:9,2073600.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Metal Black,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","4.2, A2DP, LE",Mali-T860MP2,True,True,Mediatek MT6750T (28 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",microSDXC,32GB,3GB
45,alcatel u5 hd,alcatel,True,True,True,False,2017.0,Available,129.0,141.8,71.4,9.0,Nano-SIM,IPS LCD,5.0,294.0,68.1,Android 7.0,2200.0,,4.0,16:9,921600.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Black,"Accelerometer, proximity","4.2, A2DP, LE",Mali-T720MP2,True,True,Mediatek MT6737 (28 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC,8GB,1GB
46,alcatel pulsemix,alcatel,True,True,True,False,2017.0,Available,,146.1,71.9,7.9,Nano-SIM,IPS LCD,5.2,282.0,71.0,Android 7.0,2800.0,70.0,4.0,16:9,921600.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",Metal Black,"Accelerometer, proximity, compass","4.2, A2DP, LE",Mali-T860MP2,True,True,Mediatek MT6738,"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),16GB,2GB
47,alcatel idol 5s (usa),alcatel,True,True,True,False,2017.0,Available,148.8,148.6,70.9,7.4,Nano-SIM,IPS LCD,5.2,424.0,70.8,Android 7.1,2620.0,210.0,8.0,16:9,2073600.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Crystal Black,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","4.2, A2DP, LE",Adreno 506,False,True,Qualcomm MSM8953 Snapdragon 625 (14 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",microSDXC (dedicated slot),32GB,3GB
48,alcatel flash (2017),alcatel,True,True,True,False,2017.0,Available,155.0,152.6,75.4,8.7,Nano-SIM,IPS LCD,5.5,401.0,72.5,Android 6.0,3100.0,,10.0,16:9,2073600.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Titanium Grey,"Fingerprint (rear-mounted), accelerometer, proximity, compass","4.1, A2DP",Mali-T880 MP4,True,True,Mediatek MT6797 Helio X20 (20 nm),"GSM / HSPA / LTE HSPA, LTE",microSDXC,32GB,3GB
